Chapters
Welcome
1 Introduction
2 Introduction
3 Data visualisation
4 Workflow: basics
5 Data transformation
6 Workflow: scripts
7 Exploratory Data Analysis
8 Workflow: projects
9 Introduction
10 Tibbles
11 Data import
12 Tidy data
13 Relational data
14 Strings
15 Factors
16 Dates and times
17 Introduction
18 Pipes
19 Functions
20 Vectors
21 Iteration
22 Introduction
23 Model basics
24 Model building
25 Many models
26 Introduction
27 R Markdown
28 Graphics for communication
29 R Markdown formats
30 R Markdown workflow
